"375","917180932029-87","Vinnova"
"376","296711210890-30","ICI Global"
"377","537082732275-03","UK Finance Limited"
"378","736467635874-04","Nomura Holdings, Inc."
"379","51022176260-12","European Cancer Organisation"
"380","456211534646-58","thyssenkrupp Steel Europe AG"
"381","02550382403-01","Leonardo S.p.A."
"382","206549617146-90","Credit Suisse Group AG"
"383","365453815252-29","UBS Group AG"
"384","745225910014-90","KBC Group NV"
"385","099789644441-22","Stichting Sustainable Finance Lab"
"386","55820581197-35","SMEunited aisbl"
"387","174684235534-60","Qualcomm Communications SARL"
"388","147908916864-59","European Factories of the Future Research Association"
"389","734854123093-43","Organización de Consumidores y Usuarios"
"390","7749519702-29","Bundesvereinigung der Deutschen Arbeitgeberverbände e.V."
"391","405772926495-36","Colegio de Registradores de España"
"392","389356530261-76","Stripe, Inc."
"393","695661118936-08","City of London Corporation"
"394","56039441735-48","Maa- ja metsätaloustuottajain Keskusliitto – Central Union of Agricultural Producers and Forest Owners"
"395","510151427278-94","Konrad-Adenauer-Stiftung"
"396","787054318177-33","Centre National de la Recherche Scientifique"
"397","373620420777-24","Institut national de recherche en informatique et en automatique"
"398","272147732951-48","Cigna"
"399","462849021886-85","KIC InnoEnergy SE"
"400","843309518020-96","Wise Ltd"
"401","355074725892-48","ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V."
"402","13635802880-80","Henkel AG & Co. KGaA"
"403","89093924456-06","Vereinigung der österreichischen Industrie - Industriellenvereinigung"
"404","871659237699-78","European Paper Packaging Alliance"
"405","3523776801-85","Bayer AG"
"406","011479419288-08","AGENZIA PER LA PROMOZIONE DELLA RICERCA EUROPEA"
"407","39912257528-48","Confederation of Swedish Enterprise"
"408","483974815034-52","The Royal Bank of Scotland"
"409","5975679180-97","Association Française de la Gestion financière"
"410","75149096203-49","AXA Investment Managers"
"411","686385826434-06","Optiver"
"412","56047191389-84","Fleishman-Hillard"
"413","726109217329-25","Notre Europe - Institut Jacques Delors / Notre Europe - Jacques Delors Institute"
"414","957279018810-11","F-Secure Corporation"
"415","639117311617-01","SAP"
"416","098297335667-27","CSC – IT CENTER FOR SCIENCE LTD."
"417","178676532639-72","Partnerships in Health"
"418","274682235651-46","Deutsche Gesellschaft für Auswärtige Politik e.V."
"419","60052162589-72","Deutsche Telekom"
"420","034363235590-94","Garrett Motion"
"421","075961340619-25","Donors and Foundations Networks in Europe"
"422","629345120630-12","FIA European Principal Traders Association, part of FIA, Inc."
"423","001866415031-87","HSBC Holdings PLC"
"424","00951027955-96","Fidelity International"
"425","1805107590-28","International Air Transport Association"
"426","302379535219-87","EU National Institutes for Culture"
"427","10426402966-04","CEC European Managers - Confédération Européenne des Cadres"
"428","56592866496-47","EDP - Energias de Portugal, SA"
"429","941662444402-60","Giga Carbon Neutrality Inc"
"430","146893419149-74","CONSEIL DE COOPERATION ECONOMIQUE"
"431","1992865484-43","Association Française des Marchés Financiers"
"432","178031434813-93","Viel & Cie"
"433","48010783162-91","Construction Products Europe"
"434","680443918500-51","A.P. Møller - Mærsk A/S"
"435","45963658079-77","Goethe-Institut e.V."
"436","593578344195-77","Advisory Council for Aviation Research and Innovation in Europe"
"437","38064081304-25","Deutsches Aktieninstitut"
"438","646699114665-12","AMISA2"
"439","078655018381-34","TIM S.p.A."
"440","460603337124-71","European Power Tool Association"
"441","212885415901-57","Cercle des Réseaux européens"
"442","60974102057-03","France Industrie"
"443","454264611835-56","PlasticsEurope"
"444","0801162959-21","Microsoft Corporation"
"445","977869932377-59","European Association of Research and Technology Organisations"
"446","80667711712-64","DFS Deutsche Flugsicherung GmbH"
"447","97914681026-14","Société nationale SNCF"
"448","29570313329-11","Novo Nordisk A/S"
"449","931656328552-33","Re-Imagine Europa"
"450","38870176589-43","TUSIAD-Turkish Industry&Business Association"
"451","043518118736-36","Società italiana per l'assistenza al volo"
"452","169998025130-55","European Central Counterparty N.V."
"453","707807242824-30","Cboe Europe"
"454","006901422654-34","Alliance for Logistics Innovation through Collaboration in Europe, ALICE"
"455","7438623236-16","World Employment Confederation-Europe"
"456","706627042924-27","Brazilian Tree Industry"
"457","013340043345-76","Lugny conseil"
"458","459557843341-88","Value Reporting Foundation"
"459","60598725719-66","European Construction, built environment and energy-efficient buildings Technology Platform"
"460","358818043018-61","Paulig Group"
